command;alias;description;keywords;category;url
inios;;iOS/iPad devices;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesIosMenu/~/iosDevices
inmacos;;macOS devices;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMacOsMenu/~/macOsDevices
inprorem;;Proactive Remediations;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/remediations?#view/Microsoft_Intune_Enrollment/UXAnalyticsMenu/~/proactiveRemediations?=
inscripts;;Scripts;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/powershell
insecurity;insec;Security;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_Workflows/SecurityManagementMenu/~/overview
intenant;intadmin;Tenant admin;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/TenantAdminMenu/~/tenantStatus
introubleshoot;;Troubleshooting;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/SupportMenu/~/troubleshooting
inusers;;Users;;Intune;https://intune.microsoft.com/#view/Microsoft_AAD_UsersAndTenants/UserManagementMenuBlade/~/AllUsers
inap;inautodev|inadev;Windows Autopilot devices;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_Enrollment/AutopilotDevices.ReactView/filterOnManualRemediationRequired~/false
inwin;;Windows devices;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesWindowsMenu/~/windowsDevices
inwur;;Windows Update Rings;;Intune;https://intune.microsoft.com/#view/Microsoft_Intune_DeviceSettings/DevicesMenu/~/windows10UpdateRings?
;;Applied Skills Certification Poster;;Learn;https://aka.ms/AppliedSkillsPoster
;;Certification Poster - Become Microsoft Certified;;Learn;https://aka.ms/CertificationsPoster
;;Cloud Skills Challenge - 30 Days to Learn It;;Learn;https://aka.ms/30-days-to-learn-it
;;ExpertZone;;Learn;https://expertzone.microsoft.com/
appliedskills;;Microsoft Applied Skills;;Learn;https://learn.microsoft.com/credentials/browse/?credential_types=applied%20skills
;;Microsoft Certifications;;Learn;https://learn.microsoft.com/credentials/browse/?credential_types=certification
;;Microsoft Exam Sandbox;;Learn;https://go.microsoft.com/fwlink/?linkid=2226877
;;Microsoft Exam test;;Learn;https://aka.ms/examtest
;;Microsoft Learn Blog;;Learn;https://techcommunity.microsoft.com/t5/microsoft-learn-blog/bg-p/MicrosoftLearnBlog
;;Microsoft Learn Cloud Games;;Learn;https://learn.microsoft.com/training/cloud-games
;;Microsoft Learn Exam Readiness Zone;;Learn;https://learn.microsoft.com/shows/exam-readiness-zone/
;;Microsoft Learn On Demand Instructor-led Training Series;;Learn;https://learn.microsoft.com/shows/on-demand-instructor-led-training-series/
Learnprofile;;Microsoft Learn Profile;;Learn;https://aka.ms/LearnProfile
;;Microsoft Shows;;Learn;https://learn.microsoft.com/shows/
;;Microsoft Virtual Training Days;;Learn;https://www.microsoft.com/en-ca/sites/microsoft-training-days
;;Practice Assessments for Microsoft Certifications;;Learn;https://learn.microsoft.com/credentials/certifications/practice-assessments-for-microsoft-certifications
docs;;Technical documentation;;Learn;https://learn.microsoft.com/docs/
training;;Training;;Learn;https://learn.microsoft.com/training/
cdx;;Customer Digital Experiences (Demo);;Microsoft 365;https://cdx.transform.microsoft.com
ex;exo|exchange;Exchange;;Microsoft 365;https://admin.exchange.microsoft.com
ge;;Graph Explorer;;Microsoft 365;https://developer.microsoft.com/en-us/graph/graph-explorer
lighthouse;;Lighthouse;;Microsoft 365;https://lighthouse.microsoft.com/
mc;;Message Center;;Microsoft 365;https://admin.microsoft.com/#/MessageCenter
admin;;Microsoft 365 Admin;;Microsoft 365;https://admin.microsoft.com
m365apps;;Microsoft 365 Apps admin center;;Microsoft 365;https://config.office.com/officeSettings
lcs;;Microsoft Dynamics Lifecycle Services;;Microsoft 365;https://lcs.dynamics.com/v2
forms;frm;Microsoft Forms;;Microsoft 365;https://forms.office.com/
loop;lp;Microsoft Loop;;Microsoft 365;https://loop.microsoft.com/
oct;;Office Customization Tool;;Microsoft 365;https://config.office.com/deploymentsettings
one;onedrive;OneDrive;;Microsoft 365;https://admin.onedrive.com
mail;outlook;Outlook;;Microsoft 365;https://outlook.office365.com/mail/
pa;pflow;Power Automate;;Microsoft 365;https://make.powerautomate.com
pbi;powerbi;Power BI;;Microsoft 365;https://app.powerbi.com/admin-portal
pbidod;;Power BI DoD;;Microsoft 365;https://app.mil.powerbigov.us/
pbigcc;;Power BI GCC;;Microsoft 365;https://app.powerbigov.us/
pbigcch;;Power BI GCC High;;Microsoft 365;https://app.high.powerbigov.us/
pp;ppa|power;Power Platform;;Microsoft 365;https://admin.powerplatform.microsoft.com
ppdod;;Power Platform DoD;;Microsoft 365;https://admin.appsplatform.us/
ppgcc;;Power Platform GCC;;Microsoft 365;https://gcc.admin.powerplatform.microsoft.us
ppgcch;;Power Platform GCC High;;Microsoft 365;https://high.admin.powerplatform.microsoft.us/
powerapps;;PowerApps;;Microsoft 365;https://make.powerapps.com/
pappsdod;;PowerApps DoD;;Microsoft 365;https://make.apps.appsplatform.us/
pappsgcc;;PowerApps GCC;;Microsoft 365;https://make.gov.powerapps.us/
pappsgcch;;PowerApps GCC High;;Microsoft 365;https://make.high.powerapps.us/
pflowdod;;PowerAutomate DoD;;Microsoft 365;https://flow.appsplatform.us/
pflowgcc;;PowerAutomate GCC;;Microsoft 365;https://make.gov.powerautomate.us/
pflowgcch;;PowerAutomate GCC High;;Microsoft 365;https://high.flow.microsoft.us/
ppagegcc;;PowerPages GCC;;Microsoft 365;https://make.gov.powerpages.microsoft.us/
ppagegcch;;PowerPages GCC High;;Microsoft 365;https://make.high.powerpages.microsoft.us/
puactexp;;Purview Activity Explorer;;Microsoft 365;https://compliance.microsoft.com/dataclassification/activityexplorer
pucloudgov;;Purview App Governance;;Microsoft 365;https://compliance.microsoft.com/cloudapps/app-governance
puaudit;;Purview Audit;Microsoft 365 Advanced Audit;Microsoft 365;https://compliance.microsoft.com/auditlogsearch
pucomms;;Purview Communication Compliance;Microsoft 365 Communication Compliance;Microsoft 365;https://compliance.microsoft.com/supervisoryreview
pucmgr;decm;Purview Compliance manager;Microsoft Compliance Manager;Microsoft 365;https://compliance.microsoft.com/compliancemanager
pucontentex;;Purview Content Explorer;;Microsoft 365;https://compliance.microsoft.com/dataclassification/contentexplorer
pucontentse;;Purview Content Search;;Microsoft 365;https://compliance.microsoft.com/contentsearchv2
puclassifiers;;Purview Data Classification;;Microsoft 365;https://compliance.microsoft.com/dataclassificationclassifiers
pudlm;;Purview Data Lifecycle Management;Microsoft Information Governance;Microsoft 365;https://compliance.microsoft.com/informationgovernance
pudlp;dlp;Purview Data Loss Prevention;Microsoft Endpoint DLP;Microsoft 365;https://compliance.microsoft.com/datalossprevention
puedisc;ediscovery;Purview eDiscovery;Office 365 Advanced eDiscovery;Microsoft 365;https://compliance.microsoft.com/advancedediscovery
puinfoprot;;Purview Information Protection;Microsoft Information Protection;Microsoft 365;https://compliance.microsoft.com/informationprotection
puirm;;Purview Insider Risk Management;Microsoft 365 Insider Risk Management;Microsoft 365;https://compliance.microsoft.com/insiderriskmgmt
puperms;;Purview Permissions manager;;Microsoft 365;https://compliance.microsoft.com/permissions
puprivaprm;;Purview Priva Privacy Risk Management;;Microsoft 365;https://compliance.microsoft.com/privacymgmtoverview
puprivasrr;;Purview Priva Subject Rights Requests;;Microsoft 365;https://compliance.microsoft.com/privacymgmtsrm
purecmon;;Purview Records Management;Records Management in Microsoft 365;Microsoft 365;https://compliance.microsoft.com/recordsmanagement
pusit;;Purview Sensitive Info Types;;Microsoft 365;https://compliance.microsoft.com/dataclassificationclassifiers?viewid=sensitiveinfotypes
sp;spo|sharepoint;SharePoint;;Microsoft 365;https://admin.microsoft.com/sharepoint
teams;team;Teams;;Microsoft 365;https://admin.teams.microsoft.com/
teamsrooms;;Teams Rooms Pro Management;;Microsoft 365;https://portal.rooms.microsoft.com/
teamsweb;;Teams Web Client;;Microsoft 365;https://teams.microsoft.com
macvlsc;mackeys;Volume Licensing Keys;;Microsoft 365;https://admin.microsoft.com/Adminportal/Home#/subscriptions/vlnew/downloadsandkeys
win365;cloudpc;Windows 365;Windows 365 Cloud PC;Microsoft 365;https://windows365.microsoft.com/
yam;yammer;Yammer;;Microsoft 365;https://www.yammer.com/office365/admin
myaccess;;My access;;My Pages;https://myaccess.microsoft.com
myaccount;;My account;;My Pages;https://myaccount.microsoft.com
myapps;myapp;My apps;;My Pages;https://myapps.microsoft.com
mygroups;mygroup;My groups;;My Pages;https://account.activedirectory.windowsazure.com/r#/groups
mysec;mysecurity|mysecurityinfo;My security info;my sign ins;My Pages;https://mysignins.microsoft.com/security-info
mystaff;;My staff;;My Pages;https://mystaff.microsoft.com
myvs;;Visual Studio Subscriptions;;My Pages;https://my.visualstudio.com/
actionpack;;Microsoft Action Pack;;PartnerCenter;https://partner.microsoft.com/dashboard/v2/membership/workspace/maps
partner;;Microsoft Partner Center;;PartnerCenter;https://partner.microsoft.com/dashboard
modernworkent;;Solutions Partner ModernWork Enterprise;;PartnerCenter;https://partner.microsoft.com/dashboard/v2/membership/program/solutionspartner/solutionareas/modern?track=Enterprise
modernworksmb;;Solutions Partner ModernWork SMB;;PartnerCenter;https://partner.microsoft.com/dashboard/v2/membership/program/solutionspartner/solutionareas/modern?track=SMB
solutionoverview;;Solutions Partner Overview;;PartnerCenter;https://partner.microsoft.com/dashboard/v2/membership/program/solutionspartner/solutionareas/overview
;;Microsoft Certified: Azure Fundamentals;AZ-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-fundamentals/
;;AZ-900 Azure Fundamentals Exam;AZ-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-900/
;;AZ-900 Study Guide;AZ-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-900
;;AZ-900 Azure Fundamentals Course;AZ-900;Learn-cert;https://learn.microsoft.com/training/courses/az-900t00
;;Microsoft Certified: Azure Administrator Associate;AZ-104;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-administrator/
;;AZ-104 Azure Administrator Associate Exam;AZ-104;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-104/
;;AZ-104 Study Guide;AZ-104;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-104
;;AZ-104 Azure Administrator Associate Course;AZ-104;Learn-cert;https://learn.microsoft.com/training/courses/az-104t00
;;Microsoft Certified: Azure Solutions Architect Expert;AZ-305;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-solutions-architect/
;;AZ-305: Designing Microsoft Azure Infrastructure Solutions Exam;AZ-305;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-305/
;;AZ-305 Study Guide;AZ-305;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-305
;;AZ-305: Designing Microsoft Azure Infrastructure Solutions Course;AZ-305;Learn-cert;https://learn.microsoft.com/training/courses/az-305t00
;;Microsoft Certified: Azure Network Engineer Associate;AZ-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-network-engineer-associate/
;;AZ-700: Designing and Implementing Microsoft Azure Networking Solutions Exam;AZ-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-700/
;;AZ-700 Study Guide;AZ-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-700
;;AZ-700: Designing and Implementing Microsoft Azure Networking Solutions Course;AZ-700;Learn-cert;https://learn.microsoft.com/training/courses/az-700t00
;;Microsoft Certified: Windows Server Hybrid Administrator Associate;AZ-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/windows-server-hybrid-administrator/
;;AZ-800: Administering Windows Server Hybrid Core Infrastructure Exam;AZ-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-800/
;;AZ-800 Study Guide;AZ-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-800
;;AZ-800: Administering Windows Server Hybrid Core Infrastructure Course;AZ-800;Learn-cert;https://learn.microsoft.com/training/courses/az-800t00
;;AZ-801: Configuring Windows Server Hybrid Advanced Services Exam;AZ-801;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-801/
;;AZ-801 Study Guide;AZ-801;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-801
;;AZ-801: Configuring Windows Server Hybrid Advanced Services Course;AZ-801;Learn-cert;https://learn.microsoft.com/training/courses/az-801t00
;;Microsoft Certified: Azure for SAP Workloads Specialty;AZ-120;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-for-sap-workloads-specialty/
;;AZ-120: Planning and Administering Microsoft Azure for SAP Workloads Exam;AZ-120;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-120/
;;AZ-120 Study Guide;AZ-120;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-120
;;AZ-120: Planning and Administering Microsoft Azure for SAP Workloads Course;AZ-120;Learn-cert;https://learn.microsoft.com/training/courses/az-120t00
;;Microsoft Certified: Azure Virtual Desktop Specialty;AZ-140;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-virtual-desktop-specialty/
;;AZ-140: Configuring and Operating Microsoft Azure Virtual Desktop Exam;AZ-140;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-140/
;;AZ-140 Study Guide;AZ-140;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-140
;;AZ-140: Planning and Administering Microsoft Azure for SAP Workloads Course Course;AZ-140;Learn-cert;https://learn.microsoft.com/training/courses/az-140t00
;;Microsoft Certified: Azure AI Fundamentals;AI-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-virtual-desktop-specialty/
;;AI-900: Microsoft Azure AI Fundamentals Exam;AI-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ai-900/
;;AI-900 Study Guide;AI-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ai-900
;;AI-900: Microsoft Azure AI Fundamentals Course;AI-900;Learn-cert;https://learn.microsoft.com/training/courses/ai-900t00
;;Microsoft Certified: Azure AI Engineer Associate;AI-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-ai-engineer
;;AI-102: Designing and Implementing a Microsoft Azure AI Solution Exam;AI-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ai-102/
;;AI-102 Study Guide;AI-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ai-102
;;AI-102: Designing and Implementing a Microsoft Azure AI Solution Course;AI-102;Learn-cert;https://learn.microsoft.com/training/courses/ai-102t00
;;Microsoft Certified: Azure Data Fundamentals;DP-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-data-fundamentals
;;DP-900: Microsoft Azure Data Fundamentals Exam;DP-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-900/
;;DP-900 Study Guide;DP-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-900
;;DP-900: Microsoft Azure Data Fundamentals Course;DP-900;Learn-cert;https://learn.microsoft.com/training/courses/dp-900t00
;;Microsoft Certified: Azure Data Scientist Associate;DP-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-data-scientist
;;DP-100: Designing and Implementing a Data Science Solution on Azure Exam;DP-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-100/
;;DP-100 Study Guide;DP-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-100
;;DP-100: Designing and Implementing a Data Science Solution on Azure Course;DP-100;Learn-cert;https://learn.microsoft.com/training/paths/work-data-azure-machine-learning/
;;Microsoft Certified: Azure Data Engineer Associate;DP-203;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-data-engineer
;;DP-203: Data Engineering on Microsoft Azure Exam;DP-203;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-203/
;;DP-203 Study Guide;DP-203;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-203
;;DP-203: Data Engineering on Microsoft Azure Course;DP-203;Learn-cert;https://learn.microsoft.com/training/courses/dp-203t00
;;Microsoft Certified: Azure Database Administrator Associate;DP-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-database-administrator-associate
;;DP-300: Administering Microsoft Azure SQL Solutions Exam;DP-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-300/
;;DP-300 Study Guide;DP-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-300
;;DP-300: Administering Microsoft Azure SQL Solutions Course;DP-300;Learn-cert;https://learn.microsoft.com/training/courses/dp-300t00
;;Microsoft Certified: Azure Enterprise Data Analyst Associate;DP-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-enterprise-data-analyst-associate
;;DP-500: Designing and Implementing Enterprise-Scale Analytics Solutions Using Microsoft Azure and Microsoft Power BI exam;DP-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-500/
;;DP-500 Study Guide;DP-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-500
;;DP-500: Designing and Implementing Enterprise-Scale Analytics Solutions Using Microsoft Azure and Microsoft Power BI Course;DP-500;Learn-cert;https://learn.microsoft.com/training/courses/dp-500t00
;;Microsoft Certified: Fabric Analytics Engineer Associate;DP-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/fabric-analytics-engineer-associate
;;DP-600: Implementing Analytics Solutions Using Microsoft Fabric Exam;DP-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-600/
;;DP-600 Study Guide;DP-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-600
;;DP-600: Implementing Analytics Solutions Using Microsoft Fabric Course;DP-600;Learn-cert;https://learn.microsoft.com/training/courses/dp-600t00
;;Microsoft Certified: Azure Cosmos DB Developer Specialty;DP-420;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-cosmos-db-developer-specialty
;;DP-420: Designing and Implementing Cloud-Native Applications Using Microsoft Azure Cosmos DB Exam;DP-420;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/dp-420/
;;DP-420 Study Guide;DP-420;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/dp-420
;;DP-420: Designing and Implementing Cloud-Native Applications Using Microsoft Azure Cosmos DB Course;DP-420;Learn-cert;https://learn.microsoft.com/training/courses/dp-420t00
;;Microsoft Certified: Azure Developer Associate;AZ-204;Learn-cert;https://learn.microsoft.com/credentials/certifications/azure-developer
;;AZ-204: Developing Solutions for Microsoft Azure Exam;AZ-204;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-204/
;;AZ-204 Study Guide;AZ-204;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-204
;;AZ-204: Developing Solutions for Microsoft Azure Course;AZ-204;Learn-cert;https://learn.microsoft.com/training/courses/az-204t00
;;Microsoft Certified: DevOps Engineer Expert;AZ-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/devops-engineer
;;AZ-400: Designing and Implementing Microsoft DevOps Solutions Exam;AZ-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-400/
;;AZ-400 Study Guide;AZ-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-400
;;AZ-400: Designing and Implementing Microsoft DevOps Solutions Course;AZ-400;Learn-cert;https://learn.microsoft.com/training/courses/az-400t00
;;Microsoft 365 Certified: Fundamentals;MS-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/microsoft-365-fundamentals
;;MS-900: Microsoft 365 Fundamentals Exam;MS-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ms-900/
;;MS-900 Study Guide;MS-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ms-900
;;MS-900: Microsoft 365 Fundamentals Course;MS-900;Learn-cert;https://learn.microsoft.com/training/courses/ms-900t01
;;Microsoft 365 Certified: Endpoint Administrator Associate;MD-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/m365-endpoint-administrator
;;MD-102: Endpoint Administrator Exam;MD-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/md-102/
;;MD-102 Study Guide;MD-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/md-102
;;MD-102: Endpoint Administrators Course;MD-102;Learn-cert;https://learn.microsoft.com/training/courses/md-102t00
;;Microsoft 365 Certified: Administrator Expert;MS-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/m365-administrator-expert
;;MS-102: Microsoft 365 Administrator Exam;MS-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ms-102/
;;MS-102 Study Guide;MS-102;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ms-102
;;MS-102: Microsoft 365 Administrator Course;MS-102;Learn-cert;https://learn.microsoft.com/training/courses/ms-102t00
;;Microsoft 365 Certified: Teams Administrator Associate;MS-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/m365-teams-administrator-associate/
;;MS-700: Managing Microsoft Teams Exam;MS-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ms-700/
;;MS-700 Study Guide;MS-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ms-700
;;MS-700: Managing Microsoft Teams Course;MS-700;Learn-cert;https://learn.microsoft.com/training/courses/ms-700t00
;;Microsoft 365 Certified: Collaboration Communications Systems Engineer Associate;MS-721;Learn-cert;https://learn.microsoft.com/credentials/certifications/m365-collaboration-communications-systems-engineer/
;;MS-721: Collaboration Communications Systems Engineer Exam;MS-721;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/ms-721/
;;MS-721 Study Guide;MS-721;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/ms-721
;;MS-721: Collaboration Communications Systems Engineer Course;MS-721;Learn-cert;https://learn.microsoft.com/training/courses/ms-721t00
;;Microsoft Certified: Information Protection and Compliance Administrator Associate;PL-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-platform-fundamentals/
;;PL-900: Microsoft Power Platform Fundamentals Exam;PL-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-900/
;;PL-900 Study Guide;PL-900;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-900
;;PL-900: Microsoft Power Platform Fundamentals Course;PL-900;Learn-cert;https://learn.microsoft.com/training/courses/pl-900t00
;;Microsoft Certified: Power Platform App Maker Associate;PL-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-platform-app-maker/
