command;alias;description;keywords;category;url
;;PL-100: Microsoft Power Platform App Make Exam;PL-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-100/
;;PL-100 Study Guide;PL-100;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-100
;;PL-100: Microsoft Power Platform App Make Course;PL-100;Learn-cert;https://learn.microsoft.com/training/courses/pl-100t00
;;Microsoft Certified: Power Platform Functional Consultant Associate;PL-200;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-platform-functional-consultant-associate/
;;PL-200: Microsoft Power Platform Functional Consultant Exam;PL-200;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-200/
;;PL-200 Study Guide;PL-200;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-200
;;PL-200: Microsoft Power Platform Functional Consultant Course;PL-200;Learn-cert;https://learn.microsoft.com/training/courses/pl-200t00
;;Microsoft Certified: Power BI Data Analyst Associate;PL-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-bi-data-analyst-associate/
;;PL-300: Microsoft Power BI Data Analyst Exam;PL-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-300/
;;PL-300 Study Guide;PL-300;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-300
;;PL-300: Microsoft Power BI Data Analyst Course;PL-300;Learn-cert;https://learn.microsoft.com/training/courses/pl-300t00
;;Microsoft Certified: Power Platform Developer Associate;PL-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-platform-developer-associate/
;;PL-400: Microsoft Power Platform Developer Associate Exam;PL-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-400/
;;PL-400 Study Guide;PL-400;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-400
;;PL-400: Microsoft Power Platform Developer Associate Course;PL-400;Learn-cert;https://learn.microsoft.com/training/courses/pl-400t00
;;Microsoft Certified: Power Automate RPA Developer Associate;PL-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-automate-rpa-developer-associate/
;;PL-500: Microsoft Power Automate RPA Developer Exam;PL-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-500/
;;PL-500 Study Guide;PL-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-500
;;PL-500: Microsoft Power Automate RPA Developer Course;PL-500;Learn-cert;https://learn.microsoft.com/training/courses/pl-500t00
;;Microsoft Certified: Power Platform Solution Architect Expert;PL-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/power-platform-solution-architect-expert/
;;PL-600: Microsoft Power Platform Solution Architect Exam;PL-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/pl-600/
;;PL-600 Study Guide;PL-600;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/pl-600
;;PL-600: Microsoft Power Platform Solution Architect Course;PL-600;Learn-cert;https://learn.microsoft.com/training/courses/pl-600t00
;;Microsoft Certified: Dynamics 365 Fundamentals (CRM);MB-910;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-fundamentals-customer-engagement-apps-crm/
;;MB-910: Microsoft Dynamics 365 Fundamentals (CRM) Exam;MB-910;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-910/
;;MB-910 Study Guide;MB-910;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-910
;;MB-910: Microsoft Dynamics 365 Fundamentals (CRM) Course;MB-910;Learn-cert;https://learn.microsoft.com/training/courses/mb-910t00
;;Microsoft Certified: Dynamics 365 Fundamentals (ERP);MB-920;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-fundamentals-finance-and-operations-apps-erp/
;;MB-920: Microsoft Dynamics 365 Fundamentals (ERP) Exam;MB-920;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-920/
;;MB-920 Study Guide;MB-920;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-920
;;MB-920: Microsoft Dynamics 365 Fundamentals (ERP) Course;MB-920;Learn-cert;https://learn.microsoft.com/training/courses/mb-920t00
;;Microsoft Certified: Dynamics 365 Sales Functional Consultant Associate;MB-210;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-functional-consultant-sales/
;;MB-210: Microsoft Dynamics 365 Sales Functional Consultant Exam;MB-210;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-210/
;;MB-210 Study Guide;MB-210;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-210
;;MB-210: Microsoft Dynamics 365 Sales Functional Consultant Course;MB-210;Learn-cert;https://learn.microsoft.com/training/courses/mb-210t00
;;Microsoft Certified: Dynamics 365 Field Service Functional Consultant Associate;MB-240;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-functional-consultant-field-service/
;;MB-240: Microsoft Dynamics 365 Field Service Functional Consultant Exam;MB-240;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-240/
;;MB-240 Study Guide;MB-240;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-240
;;MB-240: Microsoft Dynamics 365 Field Service Functional Consultant Course;;Learn-cert;https://learn.microsoft.com/training/courses/mb-240t00
;;Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate;MB-230;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-functional-consultant-customer-service/
;;MB-230: Microsoft Dynamics 365 Customer Service Functional Consultant Exam;MB-230;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-230/
;;MB-230 Study Guide;MB-230;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-230
;;MB-230: Microsoft Dynamics 365 Customer Service Functional Consultant Course;MB-230;Learn-cert;https://learn.microsoft.com/training/courses/mb-230t00
;;Microsoft Certified: Dynamics 365 Supply Chain Management Functional Consultant Associate;MB-330;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-functional-consultant-supply-chain-management/
;;MB-330: Microsoft Dynamics 365 Supply Chain Management Functional Consultant Exam;MB-330;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-330/
;;MB-330 Study Guide;MB-330;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-330
;;MB-330: Microsoft Dynamics 365 Supply Chain Management Functional Consultant Course;MB-330;Learn-cert;https://learn.microsoft.com/training/courses/mb-330t00
;;Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate;MB-310;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-functional-consultant-financials/
;;MB-310: Microsoft Dynamics 365 Finance Functional Consultant Exam;MB-310;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-310/
;;MB-310 Study Guide;MB-310;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-310
;;MB-310: Microsoft Dynamics 365 Finance Functional Consultant Course;MB-310;Learn-cert;https://learn.microsoft.com/training/courses/mb-310t00
;;Microsoft Certified: Dynamics 365: Finance and Operations Apps Developer Associate;MB-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-finance-and-operations-apps-developer-associate/
;;MB-500: Microsoft Dynamics 365: Finance and Operations Apps Developer Exam;MB-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-500/
;;MB-500 Study Guide;MB-500;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-500
;;MB-500: Microsoft Dynamics 365: Finance and Operations Apps Developer Course;MB-500;Learn-cert;https://learn.microsoft.com/training/courses/mb-500t00
;;Microsoft Certified: Dynamics 365 Supply Chain Management Functional Consultant Expert;MB-335;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-supply-chain-management-functional-consultant-expert/
;;MB-335: Microsoft Dynamics 365 Supply Chain Management Functional Consultant Expert Exam;MB-335;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-335/
;;MB-335 Study Guide;MB-335;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-335
;;MB-335: Microsoft Dynamics 365 Supply Chain Management Functional Consultant Expert Course;MB-335;Learn-cert;https://learn.microsoft.com/training/courses/mb-335t00
;;Microsoft Certified: Dynamics 365 Business Central Functional Consultant Associate;MB-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-business-central-functional-consultant-associate/
;;MB-800: Microsoft Dynamics 365 Business Central Functional Consultant Associate Exam;MB-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-800/
;;MB-800 Study Guide;MB-800;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-800
;;MB-800: Microsoft Dynamics 365 Business Central Functional Consultant Associate Course;MB-800;Learn-cert;https://learn.microsoft.com/training/courses/mb-800t00
;;Microsoft Certified: Dynamics 365: Finance and Operations Apps Solution Architect Expert;MB-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-finance-and-operations-apps-solution-architect-expert/
;;MB-700: Microsoft Dynamics 365: Finance and Operations Apps Solution Architect Exam;MB-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-700/
;;MB-700 Study Guide;MB-700;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-700
;;MB-700: Microsoft Dynamics 365: Finance and Operations Apps Solution Architect Course;MB-700;Learn-cert;https://learn.microsoft.com/training/courses/mb-700t00
;;Microsoft Certified: Dynamics 365 Business Central Developer Associate;;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-business-central-developer-associate/
;;MB-820: Microsoft Dynamics 365 Business Central Developer Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-820/
;;MB-820 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-820
;;MB-820: Microsoft Dynamics 365 Business Central Developer Course;;Learn-cert;https://learn.microsoft.com/training/courses/mb-820t00
;;Microsoft Certified: Dynamics 365 Customer Insights (Journeys) Functional Consultant Associate;;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-customer-insights-journeys-functional-consultant/
;;MB-220: Microsoft Dynamics 365 Customer Insights (Journeys) Functional Consultant Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-220/
;;MB-220 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-220
;;MB-220: Microsoft Dynamics 365 Customer Insights (Journeys) Functional Consultant Course;;Learn-cert;https://learn.microsoft.com/training/courses/mb-220t00
;;Microsoft Certified: Dynamics 365 Customer Insights (Data) Specialty;;Learn-cert;https://learn.microsoft.com/credentials/certifications/d365-customer-insights-data-specialty/
;;MB-260: Microsoft Dynamics 365 Customer Insights (Data) Specialist Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/mb-260/
;;MB-260 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/mb-260
;;MB-260: Microsoft Dynamics 365 Customer Insights (Data) Specialist Course;;Learn-cert;https://learn.microsoft.com/training/courses/mb-260t00
;;Microsoft Certified: Security;;Learn-cert; Compliance
;;SC-900: Microsoft Security;;Learn-cert; Compliance
;;SC-900 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/sc-900
;;SC-900: Microsoft Security;;Learn-cert; Compliance
;;Microsoft Certified: Security;;Learn-cert; Compliance
;;AZ-500: Microsoft Azure Security Technologies Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/az-500/
;;AZ-500 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/az-500
;;AZ-500: Microsoft Azure Security Technologies Course;;Learn-cert;https://learn.microsoft.com/training/courses/az-500t00
;;Microsoft Certified: Cybersecurity Architect Expert;;Learn-cert;https://learn.microsoft.com/credentials/certifications/cybersecurity-architect-expert
;;SC-100: Microsoft Cybersecurity Architect Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/sc-100/
;;SC-100 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/sc-100
;;SC-100: Microsoft Cybersecurity Architect Course;;Learn-cert;https://learn.microsoft.com/training/courses/sc-100t00
;;Microsoft Certified: Cybersecurity Architect Expert;;Learn-cert;https://learn.microsoft.com/credentials/certifications/security-operations-analyst
;;SC-200: Microsoft Security Operations Analyst Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/sc-200/
;;SC-200 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/sc-200
;;SC-200: Microsoft Security Operations Analyst Course;;Learn-cert;https://learn.microsoft.com/training/courses/sc-200t00
;;Microsoft Certified: Identity and Access Administrator Associate;;Learn-cert;https://learn.microsoft.com/credentials/certifications/identity-and-access-administrator
;;SC-300: Microsoft Identity and Access Administrator Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/sc-300/
;;SC-300 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/sc-300
;;SC-300: Microsoft Identity and Access Administrator Course;;Learn-cert;https://learn.microsoft.com/training/courses/sc-300t00
;;Microsoft Certified: Information Protection and Compliance Administrator Associate;;Learn-cert;https://learn.microsoft.com/credentials/certifications/information-protection-and-compliance-administrator/
;;SC-400: Administering Information Protection and Compliance in Microsoft 365 Exam;;Learn-cert;https://learn.microsoft.com/credentials/certifications/exams/sc-400/
;;SC-400 Study Guide;;Learn-cert;https://learn.microsoft.com/credentials/certifications/resources/study-guides/sc-400
;;SC-400: Administering Information Protection and Compliance in Microsoft 365 Course;;Learn-cert;https://learn.microsoft.com/training/courses/sc-400t00
;;Microsoft Office Specialist: Word Associate (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-word-associate-m365-apps/
;;MO-110: Microsoft Word (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-110/
;;MO-110 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE5dvir
;;Microsoft Office Specialist: Excel Associate (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-excel-associate-m365-apps/
;;MO-210: Microsoft Excel (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-110/
;;MO-210 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE5axcj
;;Microsoft Office Specialist: Word Expert (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-powerpoint-associate-m365-apps/
;;MO-310: Microsoft PowerPoint (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-310/
;;MO-310 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWWHBt
;;Microsoft Office Specialist: Outlook Expert (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-powerpoint-associate-m365-apps/
;;MO-410: Microsoft Outlook (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-410/
;;MO-410 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/tbc
;;https://learn.microsoft.com/en-us/credentials/certifications/microsoft-office-specialist-associate-m365-apps/);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/microsoft-office-specialist-expert-m365-apps/
;;Microsoft Office Specialist: Word Expert (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-word-expert-m365-apps/
;;MO-111: Microsoft Word Expert (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-111/
;;MO-111 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW16Vea
;;Microsoft Office Specialist: Word Expert (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/mos-excel-expert-m365-apps/
;;MO-211: Microsoft Excel Expert (Microsoft 365 Apps) Exam;;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/exams/mo-211/
;;MO-211 Exam Skills Outline;;Learn-cert;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW10j3G
;;Microsoft Office Specialist: Expert (Microsoft 365 Apps);;Learn-cert;https://learn.microsoft.com/en-us/credentials/certifications/microsoft-office-specialist-expert-m365-apps/
;;Microsoft Azure Network Security Ninja;;Ninja;http://aka.ms/aznetsecninja
;;Microsoft Purview Compliance Manager Ninja;;Ninja;http://aka.ms/compliancemanagerninja
;;Microsoft Purview Communication Compliance Ninja;;Ninja;https://aka.ms/communicationcomplianceninja
;;Microsoft Purview eDiscovery Ninja;;Ninja;https://aka.ms/ediscoveryninja
;;Microsoft Purview Information Protection Ninja;;Ninja;https://aka.ms/MIPNinja
;;Microsoft Purview Data Loss Prevention Ninja;;Ninja;https://aka.ms/DLPNinja
;;Microsoft Purview Insider Risk Management Ninja;;Ninja;https://aka.ms/insiderriskninja
;;Microsoft 365 Defender Ninja;;Ninja;https://aka.ms/m365dninja
;;Microsoft 365 Defender for Cloud Ninja;;Ninja;http://aka.ms/ascninja
;;Microsoft 365 Defender for IoT Ninja;;Ninja;https://aka.ms/d4iotninja
;;Microsoft Defender Experts Ninja Hub;;Ninja;http://aka.ms/DefenderExpertsNinjaHub
;;Microsoft Defender for Cloud Apps Ninja;;Ninja;http://aka.ms/mcasninja
;;Microsoft Defender for Endpoint Ninja;;Ninja;https://aka.ms/mdeninja
;;Microsoft Defender for Identity Ninja;;Ninja;https://aka.ms/MDINinja
;;Microsoft Defender for Office 365 Ninja;;Ninja;https://aka.ms/MDONinja
;;Microsoft Defender Threat Intelligence Ninja;;Ninja;https://techcommunity.microsoft.com/t5/microsoft-defender-threat/become-a-microsoft-defender-threat-intelligence-ninja-the/ba-p/3656965
;;Microsoft Sentinel Ninja;;Ninja;https://aka.ms/sentinelninja
;;Microsoft Sentinel for MSSP Ninja;;Ninja;http://aka.ms/azsentinelmssp
;;Microsoft Sentinel Notebooks Ninja;;Ninja;https://aka.ms/MDONinja
;;Microsoft Sentinel Automation Ninja;;Ninja;https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/become-a-microsoft-sentinel-automation-ninja/ba-p/3563377
;;Ninja Show;;Ninja;https://aka.ms/NinjaShow
;;AADInternals Tenant information OSINT;;Other;https://aadinternals.com/osint/
;;Apple Business Manager;;Other;https://business.apple.com
;;Apple School Manager;;Other;https://school.apple.com
;;Azure Charts;;Other;https://azurecharts.com/
;;Azure Diagrams;;Other;https://azurediagrams.com/
;;Azure Governance change tracker;;Other;https://www.azadvertizer.net
;;ChangeWindows;;Other;https://changewindows.org/
;;Conditional Access Documenter - idPowerToys;;Other;https://idpowertoys.merill.net/ca
;;Defender for Endpoint Blog and KQL-Tools;;Blog;https://m365internals.com
;;Get Security Done;;Other;https://dcaddick.github.io/gsd_public/
;;IntuneMaps;;Other;https://intunemaps.com/
;;KQL Search;;Other;https://www.kqlsearch.com/
;;Managed Google Play store;;Other;https://play.google.com/work
;;Message Header Analyzer;;Other;https://mha.azurewebsites.net
;;Microsoft 365 Maps - Licensing Diagrams;;Other;https://m365maps.com/
;;Microsoft Acronyms Glossary;;Other;https://tpm.ms/TLA
;;Microsoft Mac Downloads;;Other;https://macadmins.software/
;;Microsoft Token Analysis Tool;;Other;https://jwt.ms/
;;Microsoft WDAC Wizard;;Other;https://webapp-wdac-wizard.azurewebsites.net/
;;MSShells.net PowerShell modules for Microsoft 365 / Azure;;Other;https://msshells.net/
;;Office 365 ATP Safe Links Decoder;;Other;https://o365atp.com
;;Online link generator for Microsoft Store;;Other;https://store.rg-adguard.net/
;;Regular Expressions 101;;Other;https://regex101.com
;;Tenant Availability Check;;Other;https://o365.rocks
;;Twitter - Microsoft 365 Status Page;;Other;https://twitter.com/MSFT365Status
;;Valimail DMARC Monitor;;Other;https://use.valimail.com/ms-dmarc-monitor.html
;;What is my Microsoft Azure and Office 365 tenant ID ?;;Other;https://www.whatismytenantid.com
;;Where's My Tenant ?;;Other;https://gettenantpartitionweb.azurewebsites.net/
;;M365PSProfile;;Other;https://www.powershellgallery.com/packages/M365PSProfile/0.5.0
;;Microsoft Security;;Learn;https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4J4Mm
;;Microsoft Exam Updates;;Nieuws;https://intunedin.net/
;;John Savill's Technical Training;;Blogs;https://www.youtube.com/channel/UCpIn7ox7j7bH_OFj7tYouOQ
;;Microsoft Mechanics;;Blogs;https://www.youtube.com/@MSFTMechanics
;;Kusto Detective Agency;;Learn;https://detective.kusto.io/
;;Must Learn KQL;;Learn;https://github.com/rod-trent/MustLearnKQL
;;Intune Training;;Blogs;https://www.youtube.com/@IntuneTraining
;;Microsoft Security Community;;Blogs;https://www.youtube.com/@MicrosoftSecurityCommunity
;;Entra.News;;Nieuws;https://entra.news/
;;ITOpsTalk;;Blogs;https://www.youtube.com/@ITOpsTalk
;;For Cloud's Sake;;Blogs;https://open.spotify.com/show/7vrlCD9cC5Ws1yCJWSCcdr
;;Modern Nerdplace;;Blogs;https://open.spotify.com/show/6BplO9t7XhNoduLgFSVqAV
;Rudy Ooms;Call4Cloud;;Blogs;https://call4cloud.nl/
;Pater Daalmans;Modern Management Blog;;Blogs;https://configmgrblog.com/
;Joost Gelijsteen;Just about the Modern Workplace;;Blogs;https://joostgelijsteen.com/
;;What's new in Microsoft Intune;;Nieuws;https://learn.microsoft.com/en-us/mem/intune/fundamentals/whats-new
;;Copilot for Microsoft 365 News;;Nieuws;https://techcommunity.microsoft.com/t5/copilot-for-microsoft-365/bg-p/Microsoft365CopilotBlog
;;Kpn Partner Network Release Radio;;Blogs;https://open.spotify.com/playlist/0LW0ILqwXdSRCLMjZLTq7u?si=c38f3848245840cb
;;People Work Technology Podcast;;Blogs;https://open.spotify.com/show/6sb9a6U4A6I9rIVjTK6vHZ?si=e381fb009a87447e
;Fabio van der Burg;vdBurg.it;;Blogs;https://vdburg.it/#microsoft-blog
;Peter van der Woude;All about Microsoft Intune;;Blogs;https://www.petervanderwoude.n
;;Winstall -  the winget repository;;Other;https://winstall.app/
;Myron Helgering;Microsoft Security Blog;;Blogs;https://myronhelgering.com/
;;IT Bro's podcast;;Blogs;https://itbros.nl/
;Jeroen Burgerhout;Jeroen BurgerHout blog;;Blogs;https://www.burgerhout.org
;;Azure Updates;;Nieuws;https://azure.microsoft.com/en-us/updates/
;;Microsoft365-roadmap;;Nieuws;https://www.microsoft.com/nl-nl/microsoft-365/roadmap
;;TechCommunity;;Nieuws;https://techcommunity.microsoft.com/
;;Microsoft Events;;Nieuws;https://cloudpartners.transform.microsoft.com/events?tab=on-demand-webinars
;;Partner Center Announcements;;Nieuws;https://learn.microsoft.com/en-us/partner-center/announcements/
;Gregor Reimling;Blog Reimling;;Blogs;https://reimling.eu/
;;Irma;KPN;Other;https://irma.routit.nl/
;;OneBase;KPN;Other;https://onebase.io/
;;SuperVision;KPN;Other;https://onebase.io/mijn-bedrijf/werkplek/supervision/
